Field Name, Units, Description
a,1/m,Total absorption coefficient (aw + ap + ag),,Total absorption coefficient (aw + ap + ag)
a*ph,m^2/mg,Chlorophyll a specific absorption coefficient,,Chlorophyll a specific absorption coefficient
a*srfa,m^2/mg,Specific absorption coefficient of Suwanee River Fulvic Acid standard,,Specific absorption coefficient of Suwanee River Fulvic Acid standard
aaer,1/m,Absorption coefficient of atmospheric aerosols,,Absorption coefficient of atmospheric aerosols
abs,unitless,Absorbance,,Absorbance
abs*,m^2/mg,Carbon specific absorbance,,Carbon specific absorbance
abs_ad,unitless,Absorbance (Optical Density) of non-algal detritus,,Absorbance (Optical Density) of non-algal detritus
abs_ag,unitless,Absorbance (Optical Density) of Gelbstoff,,Absorbance (Optical Density) of Gelbstoff
abs_ap,unitless,Absorbance (Optical Density) of particles (ad + aph),,Absorbance (Optical Density) of particles (ad + aph)
abs_blank_ad,unitless,Absorbance of a blank (or unused) filter pad for non-algal detritus.,,Absorbance of a blank (or unused) filter pad for non-algal detritus.
abs_blank_ag,unitless,Absorbance of a blank (or unused) filter pad for Gelbstoff.,,Absorbance of a blank (or unused) filter pad for Gelbstoff.
abs_blank_ap,unitless,Absorbance of a blank (or unused) filter pad for particles.,,Absorbance of a blank (or unused) filter pad for particles.
abs_nacl,unitless,Absorbance of NaCl solution (use with the _###ppt suffix),,Absorbance of NaCl solution (use with the _###ppt suffix)
abundance,none,"Number of cells observed (to specify a particular taxonomic type, see ""_abun"" in Table of Field Name Suffixes)",,"Number of cells observed (to specify a particular taxonomic type, see ""_abun"" in Table of Field Name Suffixes)"
ad,1/m,Absorption coefficient of non-algal detritus,,Absorption coefficient of non-algal detritus
ad_unc,1/m,"Accumulated estimate of standard uncertainty associated with the derivation of the absorption coefficient of non-algal detritus (ad) via error propagation through the absorption equation. See section 5.3.4 of IOCCG's ""Volume 1: Inherent Optical Property Measurements and Protocols: Absorption Coefficient"" (2018).",,"Accumulated estimate of standard uncertainty associated with the derivation of the absorption coefficient of non-algal detritus (ad) via error propagation through the absorption equation. See section 5.3.4 of IOCCG's ""Volume 1: Inherent Optical Property Measurements and Protocols: Absorption Coefficient"" (2018)."
adg,1/m,Absorption coefficient of non-algal detritus + Gelbstoff (ad + ag),,Absorption coefficient of non-algal detritus + Gelbstoff (ad + ag)
ag,1/m,Absorption coefficient of Gelbstoff,,Absorption coefficient of Gelbstoff
agp,1/m,Absorption coefficient of Gelbstoff + particles (ag + ap),,Absorption coefficient of Gelbstoff + particles (ag + ap)
Allo,mg/m^3,HPLC Alloxanthin,,HPLC Alloxanthin
alpha-beta-Car,mg/m^3,"HPLC Alpha (Beta,epsilon) + Beta (Beta,beta) Carotenes",,"HPLC Alpha (Beta,epsilon) + Beta (Beta,beta) Carotenes"
altitude,m,Altitude above sea level,,Altitude above sea level
am,unitless,Airmass,,Airmass
AMC,umol,Concentration of 7-Amino-4-methylcoumarin's fluorescent molecules without an associated substrate (used for the calibration curve in flow cytometry).,,Concentration of 7-Amino-4-methylcoumarin's fluorescent molecules without an associated substrate (used for the calibration curve in flow cytometry).
AMC-Leu,umol/L/hr,Rate of substrate cleavage for L-Leucine-7-amido-4-methylcoumarin hydrochloride,,Rate of substrate cleavage for L-Leucine-7-amido-4-methylcoumarin hydrochloride
angstrom,unitless,Angstrom exponent,,Angstrom exponent
Anth,mg/m^3,HPLC Antheraxanthin,,HPLC Antheraxanthin
AOT,unitless,Aerosol Optical Thickness (sometimes referred to as tau or taua),,Aerosol Optical Thickness (sometimes referred to as tau or taua)
ap,1/m,Absorption coefficient of particles (ad + aph),,Absorption coefficient of particles (ad + aph)
ap_unc,1/m,"Accumulated estimate of standard uncertainty associated with the derivation of the absorption coefficient of particles (ap) via error propagation through the absorption equation. See section 5.3.4 of IOCCG's ""Volume 1: Inherent Optical Property Measurements and Protocols: Absorption Coefficient"" (2018).",,"Accumulated estimate of standard uncertainty associated with the derivation of the absorption coefficient of particles (ap) via error propagation through the absorption equation. See section 5.3.4 of IOCCG's ""Volume 1: Inherent Optical Property Measurements and Protocols: Absorption Coefficient"" (2018)."
aph,1/m,Absorption coefficient of phytoplankton,,Absorption coefficient of phytoplankton
aph_unc,1/m,"Accumulated estimate of standard uncertainty associated with the derivation of the absorption coefficient of phytoplankton (aph) via error propagation through the absorption equation. See section 5.3.4 of IOCCG's "" Volume 1: Inherent Optical Property Measurements and Protocols: Absorption Coefficient"" (2018).",,"Accumulated estimate of standard uncertainty associated with the derivation of the absorption coefficient of phytoplankton (aph) via error propagation through the absorption equation. See section 5.3.4 of IOCCG's "" Volume 1: Inherent Optical Property Measurements and Protocols: Absorption Coefficient"" (2018)."
asrfa,1/m,Absorption coefficient of Suwanee River Fulvic Acid standard,,Absorption coefficient of Suwanee River Fulvic Acid standard
associated_file_types,none,"File type of an associated file. Please contact SeaBASS staff before using this field to verify that your file type is supported. Valid entries for this field are: DNA-FASTQ, DNA-FASTA (for files relating to DNA analysis), BENTHIC (for images relating to benthic type and cover), and PLANKTONIC (for images relating to flow cam imagery or phytoplankton taxonomic types). If multiple entries are applicable, separate them with the pipe character: | To be used with field: associated_files",,"File type of an associated file. Please contact SeaBASS staff before using this field to verify that your file type is supported. Valid entries for this field are: DNA-FASTQ, DNA-FASTA (for files relating to DNA analysis), BENTHIC (for images relating to benthic type and cover), and PLANKTONIC (for images relating to flow cam imagery or phytoplankton taxonomic types). If multiple entries are applicable, separate them with the pipe character: | To be used with field: associated_files"
associated_files,none,"File name of an associated file. Must be used with associated_file_type. Please include the file suffix in the entry. If multiple entries are applicable, separate them with the pipe character: | To be used with field: associated_file_type If individual files are referenced but are part of a TAR archive bundle, be sure to use the associated_archives and associated_archive_types headers.",,"File name of an associated file. Must be used with associated_file_type. Please include the file suffix in the entry. If multiple entries are applicable, separate them with the pipe character: | To be used with field: associated_file_type If individual files are referenced but are part of a TAR archive bundle, be sure to use the associated_archives and associated_archive_types headers."
Asta,mg/m^3,HPLC Astaxanthin,,HPLC Astaxanthin
At,degreesC,Air temperature,,Air temperature
aw,1/m,Absorption coefficient of water,,Absorption coefficient of water
b,1/m,Total scattering coefficient (bw + bp),,Total scattering coefficient (bw + bp)
bact_abun,cells/L,Bacterioplankton abundance,,Bacterioplankton abundance
bactP,pmol/L/hr   ,Bacterioplankton production,,Bacterioplankton production
bb,1/m,Total backscattering coefficient (bbw + bbp),,Total backscattering coefficient (bbw + bbp)
bbp,1/m,Backscattering coefficient of particles,,Backscattering coefficient of particles
bbp_bp,unitless,Ratio of the backscattering coefficient of particles (bbp) to the total backscattering coefficient (bp),,Ratio of the backscattering coefficient of particles (bbp) to the total backscattering coefficient (bp)
bbw,1/m,Backscattering coefficient of water,,Backscattering coefficient of water
BChl_a,mg/m^3,HPLC Bacteriochlorophyll a,,HPLC Bacteriochlorophyll a
benthic_type,none,Description of the benthic seafloor community or substrate.,,Description of the benthic seafloor community or substrate.
beta-beta-Car,mg/m^3,"HPLC Beta-Carotene (Beta,beta-Carotene)",,"HPLC Beta-Carotene (Beta,beta-Carotene)"
beta-epi-Car,mg/m^3,"HPLC Alpha-Carotene (Beta,epsilon-Carotene)",,"HPLC Alpha-Carotene (Beta,epsilon-Carotene)"
beta-psi-Car,mg/m^3,"HPLC Gamma-Carotene (Beta,psi-Carotene)",,"HPLC Gamma-Carotene (Beta,psi-Carotene)"
bin_depth,m,Nominal or center depth for each data bin,,Nominal or center depth for each data bin
bincount,none,Number of records averaged into a bin or reported measurement,,Number of records averaged into a bin or reported measurement
bottle,none,Number used to identify a specific bottle within an array of bottle samples collected,,Number used to identify a specific bottle within an array of bottle samples collected
bp,1/m,Scattering coefficient of particles,,Scattering coefficient of particles
BSi,mmol/m^3,Biogenic silica,,Biogenic silica
But-fuco,mg/m^3,HPLC 19'-Butanoyloxyfucoxanthin,,HPLC 19'-Butanoyloxyfucoxanthin
bw,1/m,Scattering coefficient of water,,Scattering coefficient of water
c,1/m,Beam attenuation coefficient,,Beam attenuation coefficient
C2H3N_H,ppbv,VOCC concentration of (C2H3N)H+ in the air evolved from the experimental chambers that are measured by the PTR-TOF/MS. Use with headers /chemical_formula= and /mass_to_charge=.,,VOCC concentration of (C2H3N)H+ in the air evolved from the experimental chambers that are measured by the PTR-TOF/MS. Use with headers /chemical_formula= and /mass_to_charge=.
C2H4O_H,ppbv,VOCC concentration of (C2H4O)H+ in the air evolved from the experimental chambers that are measured by the PTR-TOF/MS. Use with headers /chemical_formula= and /mass_to_charge=.,,VOCC concentration of (C2H4O)H+ in the air evolved from the experimental chambers that are measured by the PTR-TOF/MS. Use with headers /chemical_formula= and /mass_to_charge=.
C2H6S_H,ppbv,VOCC concentration of (C2H6S)H+ in the air evolved from the experimental chambers that are measured by the PTR-TOF/MS. Use with headers /chemical_formula= and /mass_to_charge=.,,VOCC concentration of (C2H6S)H+ in the air evolved from the experimental chambers that are measured by the PTR-TOF/MS. Use with headers /chemical_formula= and /mass_to_charge=.
C3H6O_H,ppbv,VOCC concentration of (C3H6O)H+ in the air evolved from the experimental chambers that are measured by the PTR-TOF/MS. Use with headers /chemical_formula= and /mass_to_charge=.,,VOCC concentration of (C3H6O)H+ in the air evolved from the experimental chambers that are measured by the PTR-TOF/MS. Use with headers /chemical_formula= and /mass_to_charge=.
C5H8_H,ppbv,VOCC concentration of (C5H8)H+ in the air evolved from the experimental chambers that are measured by the PTR-TOF/MS. Use with headers /chemical_formula= and /mass_to_charge=.,,VOCC concentration of (C5H8)H+ in the air evolved from the experimental chambers that are measured by the PTR-TOF/MS. Use with headers /chemical_formula= and /mass_to_charge=.
C6H6_H,ppbv,VOCC concentration of (C6H6)H+ in the air evolved from the experimental chambers that are measured by the PTR-TOF/MS. Use with headers /chemical_formula= and /mass_to_charge=.,,VOCC concentration of (C6H6)H+ in the air evolved from the experimental chambers that are measured by the PTR-TOF/MS. Use with headers /chemical_formula= and /mass_to_charge=.
Cantha,mg/m^3,HPLC Canthaxanthin,,HPLC Canthaxanthin
cdmf,volts,"CDOM fluorescence (may be used in combination with suffixes _ex### and/or _em###, like so: cdmf_ex###_em###; ex = excitation wavelength; em = emission wavelength)",,"CDOM fluorescence (may be used in combination with suffixes _ex### and/or _em###, like so: cdmf_ex###_em###; ex = excitation wavelength; em = emission wavelength)"
cdom,mg/m^3,Concentration of chromophoric dissolved organic matter,,Concentration of chromophoric dissolved organic matter
cg,1/m,Attenuation coefficient of Gelbstoff,,Attenuation coefficient of Gelbstoff
cgp,1/m,Attenuation coefficient of Gelbstoff + particles (c - cw = agp + bp),,Attenuation coefficient of Gelbstoff + particles (c - cw = agp + bp)
CH4O_H,ppbv,VOCC concentration of (CH4O)H+ in the air evolved from the experimental chambers that are measured by the PTR-TOF/MS. Use with headers /chemical_formula= and /mass_to_charge=.,,VOCC concentration of (CH4O)H+ in the air evolved from the experimental chambers that are measured by the PTR-TOF/MS. Use with headers /chemical_formula= and /mass_to_charge=.
CH4S_H,ppbv,VOCC concentrations of (CH4S)H+ in the air evolved from the experimental chambers that are measured by the PTR-TOF/MS. Use with headers /chemical_formula= and /mass_to_charge=.,,VOCC concentrations of (CH4S)H+ in the air evolved from the experimental chambers that are measured by the PTR-TOF/MS. Use with headers /chemical_formula= and /mass_to_charge=.
Chl,mg/m^3,"Chlorophyll a derived fluorometrically/spectrophotometrically (e.g., ""extracted"" Chl)",,"Chlorophyll a derived fluorometrically/spectrophotometrically (e.g., ""extracted"" Chl)"
Chl_a,mg/m^3,HPLC Chlorophyll a (MV_Chl_a plus allomers and epimers),,HPLC Chlorophyll a (MV_Chl_a plus allomers and epimers)
Chl_a_allom,mg/m^3,HPLC Chlorophyll a allomers,,HPLC Chlorophyll a allomers
Chl_a_prime,mg/m^3,HPLC Chlorophyll a epimer,,HPLC Chlorophyll a epimer
Chl_b,mg/m^3,HPLC Chlorophyll b,,HPLC Chlorophyll b
Chl_c,mg/m^3,HPLC Chlorophyll c,,HPLC Chlorophyll c
Chl_c1,mg/m^3,HPLC Chlorophyll c1,,HPLC Chlorophyll c1
Chl_c1c2,mg/m^3,HPLC Chlorophyll c1 + c2 + Mg_DVP,,HPLC Chlorophyll c1 + c2 + Mg_DVP
Chl_c2,mg/m^3,HPLC Chlorophyll c2,,HPLC Chlorophyll c2
Chl_c3,mg/m^3,HPLC Chlorophyll c3,,HPLC Chlorophyll c3
Chl_experiment,mg/m^3,"Chlorophyll a derived via experiment, or experimental methods. See specific documentation for more information.",,"Chlorophyll a derived via experiment, or experimental methods. See specific documentation for more information."
Chlide_a,mg/m^3,HPLC Chlorophyllide a,,HPLC Chlorophyllide a
Chlide_b,mg/m^3,HPLC Chlorophyllide b,,HPLC Chlorophyllide b
chors_id,none,CHORS HPLC processing identification number,,CHORS HPLC processing identification number
cloud,%,Percent cloud cover,,Percent cloud cover
cnw,1/m,Attenuation coefficient of Gelbstoff + particles (obsolete; see cgp),,Attenuation coefficient of Gelbstoff + particles (obsolete; see cgp)
cond,mmho/cm,Conductivity,,Conductivity
cp,1/m,Beam attenuation coefficient of particles (ap + bp),,Beam attenuation coefficient of particles (ap + bp)
cp_gamma,unitless,Particulate beam attenuation spectra's slope,,Particulate beam attenuation spectra's slope
Croco,mg/m^3,HPLC Crocoxanthin,,HPLC Crocoxanthin
cw,1/m,Beam attenuation coefficient of water (aw + bw),,Beam attenuation coefficient of water (aw + bw)
cycle,none,Incrementing counter describing the sampling interval of the instrument. Relevant to the PTR-TOF/MS.,,Incrementing counter describing the sampling interval of the instrument. Relevant to the PTR-TOF/MS.
date,yyyymmdd,Sample date,,Sample date
date_processed,yyyymmdd,Date the sample was processed,,Date the sample was processed
day,dd,Sample day,,Sample day
depth,m,Depth of measurement,,Depth of measurement
dewpoint,degreesC,Dew point temperature,,Dew point temperature
Diadchr,mg/m^3,HPLC Diadinochrome,,HPLC Diadinochrome
Diadino,mg/m^3,HPLC Diadinoxanthin,,HPLC Diadinoxanthin
Diato,mg/m^3,HPLC Diatoxanthin,,HPLC Diatoxanthin
DIC,umol/kg,Dissolved inorganic carbon (per kg),,Dissolved inorganic carbon (per kg)
Dino,mg/m^3,HPLC Dinoxanthin,,HPLC Dinoxanthin
DMSA,ppt,Concentration of dimethyl sulfide (DMS) in the atmosphere,,Concentration of dimethyl sulfide (DMS) in the atmosphere
DMSSW,nmol/L,Concentration of dimethyl sulfide (DMS) in sea water,,Concentration of dimethyl sulfide (DMS) in sea water
DNA,mg/m^3,DNA (DeoxyriboNucleic Acid) concentration within a water volume,,DNA (DeoxyriboNucleic Acid) concentration within a water volume
DOC,umol/kg,Dissolved organic carbon (per kg),,Dissolved organic carbon (per kg)
DP,mg/m^3,Total diagnostic pigments (PSC + Allo + Zea + Tot_Chl_b),,Total diagnostic pigments (PSC + Allo + Zea + Tot_Chl_b)
DV_Chl_a,mg/m^3,HPLC Divinyl Chorophyll a,,HPLC Divinyl Chorophyll a
DV_Chl_b,mg/m^3,HPLC Divinyl Chorophyll b,,HPLC Divinyl Chorophyll b
Echin,mg/m^3,HPLC Echinenone,,HPLC Echinenone
Ed,uW/cm^2/nm,Downwelling irradiance,,Downwelling irradiance
EdGND,volts,Dark current values for Ed sensor,,Dark current values for Ed sensor
elapsed_time,seconds,Elapsed time,,Elapsed time
Elw,uW/cm^2,"Downwelling irradiance over the infrared spectrum, 3 to 40 um",,"Downwelling irradiance over the infrared spectrum, 3 to 40 um"
Epar,uE/cm^2/s,Profiled PAR,,Profiled PAR
epi-epi-Car,mg/m^3,"HPLC Epsilon-Carotene (Epsilon,epsilon-Carotene)",,"HPLC Epsilon-Carotene (Epsilon,epsilon-Carotene)"
Es,uW/cm^2/nm,Downwelling surface irradiance,,Downwelling surface irradiance
EsGND,volts,Dark current values for Es sensor,,Dark current values for Es sensor
Esky,uW/cm^2/nm,Downwelling sky irradiance,,Downwelling sky irradiance
Esun,uW/cm^2/nm,Downwelling sun irradiance (direct normal solar irradiance),,Downwelling sun irradiance (direct normal solar irradiance)
Esw,uW/cm^2,"Downwelling irradiance over the solar spectrum, 0.3 to 3 um",,"Downwelling irradiance over the solar spectrum, 0.3 to 3 um"
Et-8-carot,mg/m^3,HPLC Ethyl-apo-8'-carotene,,HPLC Ethyl-apo-8'-carotene
Et-chlide_a,mg/m^3,HPLC Ethyl Chlorophyllide a,,HPLC Ethyl Chlorophyllide a
Et-chlide_b,mg/m^3,HPLC Ethyl Chlorophyllide b,,HPLC Ethyl Chlorophyllide b
Eu,uW/cm^2/nm,Upwelling irradiance,,Upwelling irradiance
EuGND,volts,Dark current values for Eu sensor,,Dark current values for Eu sensor
EuPAR,uE/cm^2/s,Profiled upwelling PAR,,Profiled upwelling PAR
F0,uW/cm^2/nm,Extraterrestrial solar irradiance,,Extraterrestrial solar irradiance
F-initial,unitless,"Minimum fluorescence in darkness. Fast Repetition Rate Fluorescence measurement, commonly abbreviated as F0",,"Minimum fluorescence in darkness. Fast Repetition Rate Fluorescence measurement, commonly abbreviated as F0"
Fm,unitless,Maximum fluorescence in darkness. Fast Repetition Rate Fluorescence measurement,,Maximum fluorescence in darkness. Fast Repetition Rate Fluorescence measurement
Fuco,mg/m^3,HPLC Fucoxanthin,,HPLC Fucoxanthin
Fv_Fm,unitless,"Maximum photochemical efficiency. Fast Repetition Rate Fluorescence measurement, commonly abbreviated as Fv/Fm",,"Maximum photochemical efficiency. Fast Repetition Rate Fluorescence measurement, commonly abbreviated as Fv/Fm"
g,d^-1,Grazing Rate,,Grazing Rate
g_herb,d^-1,"Herbivorous Grazing Rate (i.e., Herbivore Induced Mortality)",,"Herbivorous Grazing Rate (i.e., Herbivore Induced Mortality)"
Gyro,mg/m^3,HPLC Gyroxanthin-Diester,,HPLC Gyroxanthin-Diester
heading,degrees,"platform's heading (e.g., ship's), in degrees",,"platform's heading (e.g., ship's), in degrees"
Hex-fuco,mg/m^3,HPLC 19'-Hexanoyloxyfucoxanthin,,HPLC 19'-Hexanoyloxyfucoxanthin
Hex-kfuco,mg/m^3,HPLC 19'-Hexanoyloxy-4-ketofucoxanthin,,HPLC 19'-Hexanoyloxy-4-ketofucoxanthin
hour,hh,Sample hour,,Sample hour
hpl_id,none,HPL HPLC processing identification number,,HPL HPLC processing identification number
hplc_gsfc_id,none,NASA GSFC HPLC processing idenfication number (i.e. 'GSFC HPLC lab sampler code'),,NASA GSFC HPLC processing idenfication number (i.e. 'GSFC HPLC lab sampler code')
