Field Name, Units, Description
iso_C2H3N_H,ppbv,VOCC concentration of (13C2H3N)H+ in the air evolved from the experimental chambers that are measured by the PTR-TOF/MS. Use with headers /chemical_formula= and /mass_to_charge=.,,VOCC concentration of (13C2H3N)H+ in the air evolved from the experimental chambers that are measured by the PTR-TOF/MS. Use with headers /chemical_formula= and /mass_to_charge=.
iso_C2H4O_H,ppbv,VOCC concentration of d3-acetaldehyde (C2HD3O)H+ in the air evolved from the experimental chambers that are measured by the PTR-TOF/MS. Use with headers /chemical_formula= and /mass_to_charge=.,,VOCC concentration of d3-acetaldehyde (C2HD3O)H+ in the air evolved from the experimental chambers that are measured by the PTR-TOF/MS. Use with headers /chemical_formula= and /mass_to_charge=.
iso_C2H6S_H,ppbv,VOCC concentration of d3-dimethylsulfide (C2D3H3S)H+ in the air evolved from the experimental chambers that are measured by the PTR-TOF/MS. Use with headers /chemical_formula= and /mass_to_charge=.,,VOCC concentration of d3-dimethylsulfide (C2D3H3S)H+ in the air evolved from the experimental chambers that are measured by the PTR-TOF/MS. Use with headers /chemical_formula= and /mass_to_charge=.
iso_C3H6O_H,ppbv,VOCC concentration of d6-acetone (C3D6O)H+ in the air evolved from the experimental chambers that are measured by the PTR-TOF/MS. Use with headers /chemical_formula= and /mass_to_charge=.,,VOCC concentration of d6-acetone (C3D6O)H+ in the air evolved from the experimental chambers that are measured by the PTR-TOF/MS. Use with headers /chemical_formula= and /mass_to_charge=.
iso_CH4O_H,ppbv,VOCC concentration of (13CH4O)H+ in the air evolved from the experimental chambers that are measured by the PTR-TOF/MS. Use with headers /chemical_formula= and /mass_to_charge=.,,VOCC concentration of (13CH4O)H+ in the air evolved from the experimental chambers that are measured by the PTR-TOF/MS. Use with headers /chemical_formula= and /mass_to_charge=.
It,degreesC,Instrument temperature,,Instrument temperature
Kd,1/m,Diffuse attenuation coefficient of Ed,,Diffuse attenuation coefficient of Ed
Kl,1/m,Diffuse attenuation coefficient of Lu,,Diffuse attenuation coefficient of Lu
Knf,1/m,Diffuse attenuation coefficient of natf,,Diffuse attenuation coefficient of natf
Kpar,1/m,Diffuse attenuation coefficient of PAR,,Diffuse attenuation coefficient of PAR
Ku,1/m,Diffuse attenuation coefficient of Eu,,Diffuse attenuation coefficient of Eu
lat,degrees,Sample latitude,,Sample latitude
lightlevel,%,"Light sample was exposed to, relative to the ambient or experimental intensity",,"Light sample was exposed to, relative to the ambient or experimental intensity"
lon,degrees,Sample longitude,,Sample longitude
LSi,mmol/m^3,Lithogenic silica,,Lithogenic silica
Lsky,uW/cm^2/nm/sr,Sky radiance,,Sky radiance
Lt,uW/cm^2/nm/sr,Total water radiance,,Total water radiance
Lu,uW/cm^2/nm/sr,Upwelling radiance,,Upwelling radiance
LuGND,volts,Dark current values for Lu sensor,,Dark current values for Lu sensor
Lut,mg/m^3,HPLC Lutein,,HPLC Lutein
Lw,uW/cm^2/nm/sr,Water leaving radiance,,Water leaving radiance
Lwn,uW/cm^2/nm/sr,Normalized water leaving radiance ( Lwn = Lw * F0 / Es ),,Normalized water leaving radiance ( Lwn = Lw * F0 / Es )
Lwnex,uW/cm^2/nm/sr,"Exact normalized water leaving radiance ( e.g., Morel et al. 2002 )",,"Exact normalized water leaving radiance ( e.g., Morel et al. 2002 )"
Lyco,mg/m^3,HPLC Lycopene,,HPLC Lycopene
Me-chlide_a,mg/m^3,HPLC Methyl Chlorophyllide a,,HPLC Methyl Chlorophyllide a
Me-chlide_b,mg/m^3,HPLC Methyl Chlorophyllide b,,HPLC Methyl Chlorophyllide b
Mg_DVP,mg/m^3,"HPLC Mg 2,4 divinyl pheoporphyrin a5 monomethyl ester",,"HPLC Mg 2,4 divinyl pheoporphyrin a5 monomethyl ester"
minute,mn,Sample minute,,Sample minute
Monado,mg/m^3,HPLC Monadoxanthin,,HPLC Monadoxanthin
month,mo,Sample month,,Sample month
mPF,none,Microplankton proportion factor ([Fuco + Perid] / DP),,Microplankton proportion factor ([Fuco + Perid] / DP)
MUF,umol,Concentration of 4-Methylumbelliferone's fluorescent molecules without an associated substrate (used for the calibration curve in flow cytometry).,,Concentration of 4-Methylumbelliferone's fluorescent molecules without an associated substrate (used for the calibration curve in flow cytometry).
MUF-But,umol/L/hr,Rate of substrate cleavage for 4-Methylumbelliferyl butyrate,,Rate of substrate cleavage for 4-Methylumbelliferyl butyrate
MUF-Glu,umol/L/hr,Rate of substrate cleavage for 4-Methylumbelliferyl beta-D-glucopyranoside,,Rate of substrate cleavage for 4-Methylumbelliferyl beta-D-glucopyranoside
MUF-PO4,umol/L/hr,Rate of substrate cleavage for 4-Methylumbelliferyl phosphate,,Rate of substrate cleavage for 4-Methylumbelliferyl phosphate
MV_Chl_a,mg/m^3,HPLC Monovinyl Chorophyll a,,HPLC Monovinyl Chorophyll a
MV_Chl_b,mg/m^3,HPLC Monovinyl Chorophyll b,,HPLC Monovinyl Chorophyll b
mz,unitless,"Mass-to-charge ratio, used to describe proton-transfer-reaction time-of-flight mass spectrometer (PTR-TOF/MS) measurements",,"Mass-to-charge ratio, used to describe proton-transfer-reaction time-of-flight mass spectrometer (PTR-TOF/MS) measurements"
N2_fix,ug/m^3/d,Nitrogen Fixation Rates,,Nitrogen Fixation Rates
nadir,degrees,"Sensor nadir angle (the nadir is the downward facing viewing geometry, opposite the zenith)",,"Sensor nadir angle (the nadir is the downward facing viewing geometry, opposite the zenith)"
nanoeukaryote,(see Field Name Suffixes table),Phytoplankton taxonomic label for nanoeukaryote. Use in combination with the supported suffixes in the Field Name Suffixes Table.,,Phytoplankton taxonomic label for nanoeukaryote. Use in combination with the supported suffixes in the Field Name Suffixes Table.
natf,nE/m^2/sr/s,natural fluorescence of chlorophyll a,,natural fluorescence of chlorophyll a
NCCb,mmol/m^2/d,"Net Benthic Community Calcification, expressed as the millimole production of CaCO3 per benthic area per day",,"Net Benthic Community Calcification, expressed as the millimole production of CaCO3 per benthic area per day"
NCPb,mmol/m^2/d,"Net Benthic Community Productivity, expressed as the millimole production of O2 per benthic area per day",,"Net Benthic Community Productivity, expressed as the millimole production of O2 per benthic area per day"
Neo,mg/m^3,HPLC Neoxanthin,,HPLC Neoxanthin
NH4,mmol/m^3,NH4,,NH4
NO2,mmol/m^3,Nitrite,,Nitrite
NO2_NO3,mmol/m^3,NO2 + NO3,,NO2 + NO3
NO3,mmol/m^3,Nitrate,,Nitrate
nPF,none,Nanoplankton proportion factor ([Hex-fuco + But-fuco + Allo] / DP),,Nanoplankton proportion factor ([Hex-fuco + But-fuco + Allo] / DP)
NPP,mg/m^3/d,Net Primary Productivity,,Net Primary Productivity
nrb,photoelectrons/usec/shot,Normalized relative backscatter,,Normalized relative backscatter
oxygen,ml/L,Dissolved oxygen,,Dissolved oxygen
oxygen_saturation,%,Percent oxygen saturation,,Percent oxygen saturation
Oz,dobson,Column Ozone,,Column Ozone
P-457,mg/m^3,HPLC P-457,,HPLC P-457
PAR,uE/cm^2/s,PAR measured at the sea surface,,PAR measured at the sea surface
PC,mg/m^3,Phycocyanin derived fluorometrically/spectrophotometrically,,Phycocyanin derived fluorometrically/spectrophotometrically
pCO2,uatm,Surface water partial pressure of carbon dioxide,,Surface water partial pressure of carbon dioxide
pDrift,mbar,Pressure in the drift tube of the PTR-TOF/MS.,,Pressure in the drift tube of the PTR-TOF/MS.
Perid,mg/m^3,HPLC Peridinin,,HPLC Peridinin
pH,none,pH,,pH
PHAEO,mg/m^3,Total phaeopigment concentration,,Total phaeopigment concentration
Phide_a,mg/m^3,HPLC Pheophorbide a,,HPLC Pheophorbide a
Phide_b,mg/m^3,HPLC Pheophorbide b,,HPLC Pheophorbide b
Phide_c,mg/m^3,HPLC Pheophorbide c,,HPLC Pheophorbide c
Phytin_a,mg/m^3,HPLC Pheophytin a,,HPLC Pheophytin a
Phytin_b,mg/m^3,HPLC Pheophytin b,,HPLC Pheophytin b
Phytin_c,mg/m^3,HPLC Pheophytin c,,HPLC Pheophytin c
phyto_carbon,ug/L,Phytoplankton carbon concentration,,Phytoplankton carbon concentration
Phytyl-chl_c,mg/m^3,HPLC Phytylated Chlorophyll c,,HPLC Phytylated Chlorophyll c
PIC,mol/m^3,Particulate inorganic carbon,,Particulate inorganic carbon
picoeukaryote,(see Field Name Suffixes table),Phytoplankton taxonomic label for picoeukaryote. Use in combination with the supported Field Name Suffixes Table.,,Phytoplankton taxonomic label for picoeukaryote. Use in combination with the supported Field Name Suffixes Table.
PIM,mg/L,Suspended particulate inorganic matter,,Suspended particulate inorganic matter
pitch,degrees,Instrument pitch,,Instrument pitch
PN,mg/m^3,Particulate nitrogen,,Particulate nitrogen
PO4,mmol/m^3,Phosphate,,Phosphate
POC,mg/m^3,Particulate organic carbon,,Particulate organic carbon
POM,mg/L,Suspended particulate organic matter,,Suspended particulate organic matter
PON,mg/m^3,Particulate organic nitrogen,,Particulate organic nitrogen
PP,mgC/mgchla/hr,Primary productivity,,Primary productivity
PPC,mg/m^3,Photoprotective carotenoids (Allo + Diadino + Diato + Zeo + alpha-beta-Car),,Photoprotective carotenoids (Allo + Diadino + Diato + Zeo + alpha-beta-Car)
PPC_Tcar,none,Ratio of PPC to Tcar,,Ratio of PPC to Tcar
PPC_Tpg,none,Ratio of PPC to Tpg,,Ratio of PPC to Tpg
pPF,none,Picoplankton proportion factor ([Zea + Tot_chl_b] / DP),,Picoplankton proportion factor ([Zea + Tot_chl_b] / DP)
Pras,mg/m^3,HPLC Prasinoxanthin,,HPLC Prasinoxanthin
pressure,dbar,Water pressure,,Water pressure
pressure_atm,mbar,Atmospheric pressure,,Atmospheric pressure
prochlorococcus,(see Field Name Suffixes table),"Phytoplankton taxonomic label for prochlorococcus. Use in combination with the supported Field Name Suffixes listed in the above table, relating to taxonomic types.",,"Phytoplankton taxonomic label for prochlorococcus. Use in combination with the supported Field Name Suffixes listed in the above table, relating to taxonomic types."
PSC,mg/m^3,Photosynthetic carotenoids (But-fuco + Fuco + Hex-fuco + Perid),,Photosynthetic carotenoids (But-fuco + Fuco + Hex-fuco + Perid)
PSC_Tcar,none,Ratio of PSC to Tcar,,Ratio of PSC to Tcar
PSD,uL/L,"Particle Size Distribution. Must be used in conjunction with a suffix to specify sizes, e.g., PSD_80.5size (see _###size in table of field name modifiers.)",,"Particle Size Distribution. Must be used in conjunction with a suffix to specify sizes, e.g., PSD_80.5size (see _###size in table of field name modifiers.)"
PSP,mg/m^3,Photosynthetic pigments (PSC + Tchl),,Photosynthetic pigments (PSC + Tchl)
PSP_Tpg,none,Ratio of PSP to Tpg,,Ratio of PSP to Tpg
pulse_width,seconds,Time duration that the primary trigger channel exceeded the width measurement threshold during an event (flow cytometry). Scientific notation is accepted.,,Time duration that the primary trigger channel exceeded the width measurement threshold during an event (flow cytometry). Scientific notation is accepted.
pvel,m/s,Profiler velocity,,Profiler velocity
Pyrophide_a,mg/m^3,HPLC Pyropheophorbide a,,HPLC Pyropheophorbide a
Pyrophytin_a,mg/m^3,HPLC Pyropheophytin a,,HPLC Pyropheophytin a
Pyrophytin_b,mg/m^3,HPLC Pyropheophytin b,,HPLC Pyropheophytin b
Pyrophytin_c,mg/m^3,HPLC Pyropheophytin c,,HPLC Pyropheophytin c
Q,sr,Eu / Lu (equal to pi in diffuse water),,Eu / Lu (equal to pi in diffuse water)
quality,none,Analyst-specific data quality flag,,Analyst-specific data quality flag
R,unitless,Irradiance reflectance (Eu / Ed),,Irradiance reflectance (Eu / Ed)
RelAbundance,%,Percent cell abundance of a specific phytoplankton taxonomic type relative to all observed cells.,,Percent cell abundance of a specific phytoplankton taxonomic type relative to all observed cells.
RelAz,degrees,Sensor azimuth angle relative to the solar plane,,Sensor azimuth angle relative to the solar plane
Rf,uW/cm^2/nm/sr,"Raman fluorescence (may be used in combination with suffixes _ex### and/or _em###, like so: Rf_ex###_em###; ex = excitation wavelength; em = emission wavelength)",,"Raman fluorescence (may be used in combination with suffixes _ex### and/or _em###, like so: Rf_ex###_em###; ex = excitation wavelength; em = emission wavelength)"
Rl,1/sr,Radiance reflectance (Lu / Ed),,Radiance reflectance (Lu / Ed)
roll,degrees,Instrument roll,,Instrument roll
Rpi,unitless,Radiance reflectance with pi (pi * Lu / Ed),,Radiance reflectance with pi (pi * Lu / Ed)
Rrs,1/sr,Remote sensing reflectance (Lw / Ed),,Remote sensing reflectance (Lw / Ed)
S_ad,none,Slope of non-algal detritus absorption spectra,,Slope of non-algal detritus absorption spectra
S_ag,none,Slope of gelbstoff absorption spectra,,Slope of gelbstoff absorption spectra
sal,PSU,Salinity,,Salinity
sample,none,Sample number,,Sample number
SAZ,degrees,Solar azimuth angle,,Solar azimuth angle
sdy,ddd,Sequential day of year,,Sequential day of year
second,ss,Sample second,,Sample second
SenZ,degrees,Sensor zenith angle,,Sensor zenith angle
sig,mV,Stregth of the raw signal of the sunphotometer,,Stregth of the raw signal of the sunphotometer
sigma_PSII,angstrom^2,Effective absorption cross-section of photosystem II in darkness,,Effective absorption cross-section of photosystem II in darkness
sigma_theta,kg/m^3,Potential density - 1000 kg/m3,,Potential density - 1000 kg/m3
sigmaT,kg/m^3,Density - 1000 kg/m3,,Density - 1000 kg/m3
SiO4,mmol/m^3,"Silicic Acid / ""Dissolved Silica""",,"Silicic Acid / ""Dissolved Silica"""
Siphn,mg/m^3,HPLC Siphonein,,HPLC Siphonein
Siphx,mg/m^3,HPLC Siphonaxanthin,,HPLC Siphonaxanthin
SN,none,Instrument serial number,,Instrument serial number
speed_f_w,m/s,"Speed in the forward direction, relative to water",,"Speed in the forward direction, relative to water"
SPM,mg/L,Total suspended particulate matter,,Total suspended particulate matter
SST,degreesC,Sea surface temperature,,Sea surface temperature
station,none,Sample station,,Sample station
station_alt_id,none,Alternate sample station identifier (use ONLY if station has already been used as a field name),,Alternate sample station identifier (use ONLY if station has already been used as a field name)
stimf,volts,"Stimulated fluorescence, nominally of chlorophyll a. The suffixes _ex### and _em### may be used to specify wavelengths like so: stimf_ex###_em###; ex = excitation wavelength; em = emission wavelength). Related field: Chl_stimf",,"Stimulated fluorescence, nominally of chlorophyll a. The suffixes _ex### and _em### may be used to specify wavelengths like so: stimf_ex###_em###; ex = excitation wavelength; em = emission wavelength). Related field: Chl_stimf"
synechococcus,(see Field Name Suffixes table),"Phytoplankton taxonomic label for synechococcus. Use in combination with the supported Field Name Suffixes listed in the above table, relating to taxonomic types.",,"Phytoplankton taxonomic label for synechococcus. Use in combination with the supported Field Name Suffixes listed in the above table, relating to taxonomic types."
SZ,m,Secchi disk depth,,Secchi disk depth
SZA,degrees,Solar zenith angle,,Solar zenith angle
Tacc,mg/m^3,Total accessory pigments (PPC + PSC + Tot_Chl_b + Tot_Chl_c),,Total accessory pigments (PPC + PSC + Tot_Chl_b + Tot_Chl_c)
Tacc_Tchla,none,Ratio of Tacc to Tot_Chl_a,,Ratio of Tacc to Tot_Chl_a
Tcar,mg/m^3,Total carotenoids (PPC + PSC),,Total carotenoids (PPC + PSC)
Tchl,mg/m^3,Tot_Chl_a + Tot_Chl_b + Tot_Chl_c,,Tot_Chl_a + Tot_Chl_b + Tot_Chl_c
TChl_Tcar,none,Ratio of Tchl to Tcar,,Ratio of Tchl to Tcar
Tchla_Tpg,none,Ratio of Tot_chl_a to Tpg,,Ratio of Tot_chl_a to Tpg
TDN,mmol/m^3,Total dissolved nitrogen,,Total dissolved nitrogen
Tdrift,degreesC,Temperature in the drift tube of the PTR-TOF/MS.,,Temperature in the drift tube of the PTR-TOF/MS.
tilt,degrees,Instrument tilt,,Instrument tilt
time,hh:mm:ss,Sample time,,Sample time
time_processed,hh:mm:ss,Time the sample was processed,,Time the sample was processed
Tot_Chl_a,mg/m^3,HPLC DV_Chl_a + MV_Chl_a + Chlide_a + Chl_a_allom + Chl_a_prime,,HPLC DV_Chl_a + MV_Chl_a + Chlide_a + Chl_a_allom + Chl_a_prime
Tot_Chl_b,mg/m^3,HPLC DV_Chl_b + MV_Chl_b,,HPLC DV_Chl_b + MV_Chl_b
Tot_Chl_c,mg/m^3,"HPLC chl_c1 + chl_c2 (i.e., chl_c1c2) + chl_c3",,"HPLC chl_c1 + chl_c2 (i.e., chl_c1c2) + chl_c3"
Tpg,mg/m^3,Total pigment concentration,,Total pigment concentration
trans,%,Percent transmission,,Percent transmission
turbidity,NTU,Turbidity,,Turbidity
u,d^-1,"Growth rate (i.e., µ or mu)",,"Growth rate (i.e., µ or mu)"
u_ph,d^-1,Growth rate of phytoplankton,,Growth rate of phytoplankton
u_zoo,d^-1,Growth rate of zooplankton,,Growth rate of zooplankton
Urea,mmol/m^3,Urea,,Urea
Vauch,mg/m^3,HPLC Vaucheriaxanthin-ester,,HPLC Vaucheriaxanthin-ester
VelEast,m/s,ADP Velocity East,,ADP Velocity East
VelNorth,m/s,ADP Velocity North,,ADP Velocity North
VelUp,m/s,ADP Velocity Up,,ADP Velocity Up
Viola,mg/m^3,HPLC Violaxanthin,,HPLC Violaxanthin
VOCair,ppbv,Concenctration of Volatile Organic Carbon (VOC) compounds in air measured via a proton-transfer-reaction time-of-flight mass spectrometer (PTR-TOF/MS),,Concenctration of Volatile Organic Carbon (VOC) compounds in air measured via a proton-transfer-reaction time-of-flight mass spectrometer (PTR-TOF/MS)
volfilt,L,Volume filtered,,Volume filtered
VSF,1/m/sr,"Total volume scattering function (VSF### or VSF###_YYYang, where YYY is collection angle). Also called beta.",,"Total volume scattering function (VSF### or VSF###_YYYang, where YYY is collection angle). Also called beta."
VSFg,1/m/sr,"Gelbstoff volume scattering function, i.e., VSFg = VSFw - VSF(pure water, salinity, and temperature) (VSFg### or VSFp###_YYYang, where YYY is collection angle). Also called beta.", where YYY is collection angle). Also called beta.,"Gelbstoff volume scattering function, i.e., VSFg = VSFw - VSF(pure water, salinity, and temperature) (VSFg### or VSFp###_YYYang, where YYY is collection angle). Also called beta., where YYY is collection angle). Also called beta."
VSFp,1/m/sr,"Particulate volume scattering function i.e., VSFp = VSF - VSFw (VSFp### or VSFp###_YYYang, where YYY is collection angle). Also called beta.",,"Particulate volume scattering function i.e., VSFp = VSF - VSFw (VSFp### or VSFp###_YYYang, where YYY is collection angle). Also called beta."
VSFw,1/m/sr,"Filtered seawater volume scattering function plus VSF sal & temp contributions, i.e., VSFw = VSF - VSFp (VSFw### or VSFw###_YYYang, where YYY is collection angle). Also called beta., where YYY is collection angle). Also called beta., where YYY is collection angle). Also called beta.", where YYY is collection angle). Also called beta.,"Filtered seawater volume scattering function plus VSF sal & temp contributions, i.e., VSFw = VSF - VSFp (VSFw### or VSFw###_YYYang, where YYY is collection angle). Also called beta., where YYY is collection angle). Also called beta., where YYY is collection angle). Also called beta., where YYY is collection angle). Also called beta."
water_depth,m,The water (bottom) depth where the data were collected,,The water (bottom) depth where the data were collected
waveht,m,Wave height,,Wave height
wavelength,nm,Wavelength of measurement,,Wavelength of measurement
wdir,degrees,"Wind direction, described in degrees from north, increasing clockwise, increasing clockwise, increasing clockwise, increasing clockwise", increasing clockwise,"Wind direction, described in degrees from north, increasing clockwise, increasing clockwise, increasing clockwise, increasing clockwise, increasing clockwise"
wind,m/s,Wind speed,,Wind speed
Wt,degreesC,Water temperature,,Water temperature
Wvp,cm,Water vapor,,Water vapor
year,yyyy,Sample year,,Sample year
Z_90,m,Depth of the first optical layer (37% light level),,Depth of the first optical layer (37% light level)
Z_DCM,m,Depth of the deep chlorophyll maximum,,Depth of the deep chlorophyll maximum
Z_Eu,m,Depth of the euphotic layer,,Depth of the euphotic layer
Z_MLD,m,Depth of the mixed layer,,Depth of the mixed layer
Zea,mg/m^3,HPLC Zeaxanthin,,HPLC Zeaxanthin
